id,label
presented,Entity
private securities litigation reform act,Entity
private securities litigation reform act of 1995,Entity
protections,Entity
public accounting firm,Entity
rapid changes,Entity
rapidly changing businesses,Entity
rate,Entity
readers,Entity
references,Entity
registered accounting firm,Entity
registered public accounting firm,Entity
registrant,Entity
report,Entity
report on,Entity
report on to its management,Entity
reporting standards,Entity
restrictive changes,Entity
result,Entity
results,Entity
results of operations,Entity
risk factors,Entity
risks,Entity
rupees,Entity
seasoned defined,Entity
seasoned issuer,Entity
seasoned issuer defined,Entity
seasoned issuer defined in rule 405,Entity
seasoned issuer defined in rule 405 of securities act,Entity
seasoned issuer defined in rule 405 securities act,Entity
sec,Entity
securities litigation reform act,Entity
securities litigation reform act of 1995,Entity
services,Entity
should considered,Entity
should considered carefully,Entity
solely convenience,Entity
solely convenience of readers,Entity
statements,Entity
states,Entity
strategic partnerships,Entity
strength,Entity
strength of our management team,Entity
substantial investments,Entity
substantial investments in facilities,Entity
substantial investments in new facilities,Entity
such looking statements,Entity
summary,Entity
table between totals of amounts,Entity
technology,Entity
their nature,Entity
then could unprofitable,Entity
those,Entity
those anticipated,Entity
those anticipated as result,Entity
those anticipated as result of certain factors,Entity
those anticipated as result of certain factors including those,Entity
those anticipated as result of factors,Entity
those anticipated as result of factors including those,Entity
those anticipated in forward looking statements,Entity
those anticipated in forward looking statements as result,Entity
those anticipated in forward looking statements as result of certain factors,Entity
those anticipated in forward looking statements as result of certain factors including those,Entity
those anticipated in forward looking statements as result of factors,Entity
those anticipated in forward looking statements as result of factors including those,Entity
those anticipated in looking statements,Entity
those anticipated in looking statements as result,Entity
those anticipated in looking statements as result of certain factors,Entity
those anticipated in looking statements as result of certain factors including those,Entity
those anticipated in looking statements as result of factors,Entity
those anticipated in looking statements as result of factors including those,Entity
those anticipated in statements,Entity
those anticipated in statements as result,Entity
those anticipated in statements as result of certain factors,Entity
those anticipated in statements as result of certain factors including those,Entity
those anticipated in statements as result of factors,Entity
those anticipated in statements as result of factors including those,Entity
those reflected,Entity
those reflected in forward looking statements,Entity
those reflected in looking statements,Entity
those reflected in statements,Entity
time,Entity
time to time,Entity
to attract,Entity
to course,Entity
to course of our business activities,Entity
to normal course,Entity
to normal course of our business activities,Entity
u.k.,Entity
u.s. dollars,Entity
unable,Entity
uncertain,Entity
united kingdom,Entity
united states,Entity
use,Entity
use of technology by our clients,Entity
viewed,Entity
wage increases,Entity
we,Entity
we fail,Entity
well known issuer,Entity
well known issuer defined,Entity
well known issuer defined in rule 405,Entity
well known issuer defined in rule 405 of securities act,Entity
well known issuer defined in rule 405 securities act,Entity
well known seasoned issuer,Entity
well known seasoned issuer defined,Entity
well known seasoned issuer defined in rule 405,Entity
well known seasoned issuer defined in rule 405 of securities act,Entity
well known seasoned issuer defined in rule 405 securities act,Entity
wipro,Entity
www.wipro.com,Entity
you,Entity
